Food Name,Category,Serving Size (g),Protein (g),Carbohydrates (g),Total Fat (g),Dietary Fiber (g),Sugars (g),Calories (kcal)
Tomato,Vegetables,155.0,2.7,10.6,0.7,2.1,3.9,97.97
Watermelon,Fruits,115.0,1.0,13.6,0.5,1.8,11.7,70.83
Buttermilk,Dairy,122.6,8.0,4.6,17.5,0.4,5.6,255.77
Upma,Grains & Cereals,51.5,6.4,74.1,6.9,2.4,9.0,209.14
Chicken Breast,Meat & Poultry,138.6,27.1,1.1,3.2,0.1,1.0,192.79
Rohu Fish,Seafood,189.3,16.4,1.1,9.1,0.1,0.4,278.15
Moong Dal,Legumes,168.2,6.2,23.3,1.2,5.6,2.8,229.7
Peanuts,Nuts & Seeds,30.6,19.2,18.3,54.2,3.9,3.2,192.02
Cookies,Snacks,56.5,7.7,47.5,24.0,3.3,6.9,232.04
Coconut Water,Beverages,307.8,0.2,9.7,1.3,0.8,10.8,154.4
Jalebi,Desserts,80.6,3.3,52.4,29.1,1.8,36.6,393.33
Veg Wrap,Fast Food,214.3,15.0,27.4,13.0,2.1,6.4,615.47
Cabbage,Vegetables,196.2,1.5,9.6,0.6,3.6,6.0,109.29
Pomegranate,Fruits,152.7,1.3,17.1,0.9,1.3,10.6,120.08
Whole Milk,Dairy,224.1,8.8,4.1,15.0,0.1,11.1,435.74
White Rice,Grains & Cereals,123.2,10.7,63.5,3.7,9.8,8.7,450.38
Mutton Curry Cut,Meat & Poultry,175.8,18.6,0.4,7.2,0.1,0.9,262.32
Tuna,Seafood,180.3,16.2,0.7,12.3,0.0,0.4,312.1
Kidney Beans,Legumes,155.2,7.0,15.8,2.8,8.4,1.8,211.36
Sunflower Seeds,Nuts & Seeds,36.6,23.2,17.5,44.7,8.5,6.8,209.49
Popcorn,Snacks,41.2,4.2,63.8,38.7,2.6,17.8,253.16
Lemonade,Beverages,234.0,0.4,1.4,0.5,0.8,1.9,29.67
Pastry,Desserts,113.9,2.9,39.1,21.3,1.1,35.7,406.09
Pav Bhaji,Fast Food,227.8,14.4,38.5,22.4,2.3,7.3,974.57
Spinach,Vegetables,101.9,0.5,14.5,0.6,4.1,3.6,74.62
Banana,Fruits,137.5,1.1,15.4,0.5,1.7,13.9,104.62
Paneer,Dairy,196.6,3.7,6.8,7.7,0.3,8.5,205.89
Whole Wheat Bread,Grains & Cereals,45.0,8.3,72.3,1.2,4.4,5.6,159.13
Chicken Thigh,Meat & Poultry,106.2,26.1,2.2,14.4,0.1,0.4,271.3
Mackerel,Seafood,182.7,22.2,2.0,0.7,0.1,0.4,192.14
Green Peas,Legumes,102.6,8.1,25.5,2.6,4.6,2.8,162.33
Pumpkin Seeds,Nuts & Seeds,23.3,15.8,11.1,44.1,6.6,3.7,124.78
Banana Chips,Snacks,35.3,5.6,60.4,37.9,3.0,7.5,210.15
Fruit Smoothie,Beverages,300.1,0.3,5.7,1.9,1.0,5.3,131.77
Gulab Jamun,Desserts,96.6,5.0,35.8,12.9,1.8,25.8,259.53
Cheese Pizza Slice,Fast Food,198.9,14.2,37.3,17.4,2.5,4.9,749.4
Carrot,Vegetables,134.3,2.7,12.7,0.9,4.5,7.7,109.04
Mango,Fruits,124.1,1.2,15.2,0.8,2.0,10.8,97.75
Greek Yogurt,Dairy,169.7,7.0,13.7,15.9,0.3,7.7,398.78
Cornflakes,Grains & Cereals,178.1,12.6,60.0,5.3,8.8,6.9,652.01
Pork Loin,Meat & Poultry,249.0,28.6,2.2,20.6,0.1,0.8,778.85
Pomfret,Seafood,156.5,24.0,1.5,7.1,0.1,0.2,267.24
Chana Dal,Legumes,149.2,6.1,27.6,1.5,6.0,1.1,232.01
Hazelnuts,Nuts & Seeds,28.9,24.0,8.5,56.1,6.7,5.1,185.31
Potato Chips,Snacks,51.1,5.9,56.6,30.0,2.4,21.4,262.81
Orange Juice,Beverages,310.9,2.8,12.0,0.3,0.6,3.7,204.27
Chocolate Cake,Desserts,111.3,4.7,41.4,20.2,2.8,29.5,428.15
Chicken Burger,Fast Food,274.1,14.1,27.5,22.3,1.1,5.8,994.46
Bell Pepper,Vegetables,233.9,1.8,7.0,0.8,3.8,4.3,123.88
Papaya,Fruits,113.9,0.5,18.9,1.5,1.7,10.2,111.65
Butter,Dairy,176.8,4.3,9.0,24.8,0.0,9.1,495.05
Ragi,Grains & Cereals,61.9,8.8,65.3,2.0,8.7,9.4,202.82
Keema,Meat & Poultry,140.8,28.7,0.0,9.6,0.1,0.3,287.52
Tilapia,Seafood,184.4,17.0,1.1,10.7,0.1,0.0,323.35
Boiled Chickpeas,Legumes,149.7,8.8,20.4,2.5,5.0,1.0,221.61
Cashews,Nuts & Seeds,36.0,17.3,22.2,61.6,3.6,6.4,269.48
Roasted Peanuts,Snacks,28.5,6.8,58.5,30.5,3.0,23.4,149.29
Sweet Tea,Beverages,348.7,0.3,13.2,0.9,0.7,10.9,222.66
Donut,Desserts,95.4,5.2,57.2,11.0,2.3,28.9,337.31
Fried Chicken,Fast Food,170.3,9.8,27.0,11.8,1.2,7.5,412.57
Tomato,Vegetables,225.4,2.2,10.9,0.5,4.7,3.7,145.21
Watermelon,Fruits,135.3,1.5,24.8,1.3,2.7,15.1,160.75
Buttermilk,Dairy,117.9,9.7,15.0,12.6,0.0,9.6,236.4
Upma,Grains & Cereals,179.7,8.6,73.3,2.1,3.5,0.5,615.31
Chicken Breast,Meat & Poultry,165.2,18.5,0.1,15.3,0.1,0.6,356.89
Rohu Fish,Seafood,173.9,18.2,1.4,1.3,0.1,0.5,160.41
Moong Dal,Legumes,146.3,6.1,27.2,2.3,5.1,1.6,247.52
Peanuts,Nuts & Seeds,20.9,21.8,20.5,57.6,5.2,3.9,144.05
Cookies,Snacks,33.1,5.7,53.8,24.9,1.6,16.8,156.01
Coconut Water,Beverages,248.1,2.7,5.3,0.8,0.4,10.6,97.78
Jalebi,Desserts,79.0,5.8,51.5,18.6,2.2,31.4,314.62
Veg Wrap,Fast Food,211.4,10.2,26.6,16.2,1.2,5.9,608.93
Cabbage,Vegetables,117.8,0.6,10.1,0.5,1.1,2.7,56.56
Pomegranate,Fruits,109.4,0.7,14.8,0.8,1.0,9.1,79.7
Whole Milk,Dairy,116.2,5.3,9.6,5.9,0.0,13.4,131.3
White Rice,Grains & Cereals,54.2,7.2,79.5,4.7,7.5,11.8,225.29
Mutton Curry Cut,Meat & Poultry,122.4,20.4,1.9,12.2,0.1,0.9,253.05
Tuna,Seafood,156.8,19.2,1.3,14.5,0.0,0.5,323.01
Kidney Beans,Legumes,124.4,5.7,23.0,2.2,6.3,0.9,190.66
Sunflower Seeds,Nuts & Seeds,33.5,15.3,21.9,65.0,3.1,2.8,241.14
Popcorn,Snacks,45.8,6.4,58.7,31.8,2.1,18.9,255.86
Lemonade,Beverages,212.9,2.0,12.3,1.3,0.5,4.2,140.98
Pastry,Desserts,69.9,2.0,59.7,14.4,2.4,24.2,269.12
Pav Bhaji,Fast Food,255.3,10.3,37.0,24.4,2.8,4.1,1061.01
Spinach,Vegetables,137.2,2.8,8.7,0.3,1.6,1.1,70.44
Banana,Fruits,154.3,1.6,24.5,0.2,2.8,10.3,176.05
Paneer,Dairy,119.2,4.8,9.9,5.0,0.2,10.2,128.58
Whole Wheat Bread,Grains & Cereals,180.0,10.0,75.5,4.9,8.4,8.6,677.2
Chicken Thigh,Meat & Poultry,109.1,21.3,0.3,16.3,0.0,0.2,249.36
Mackerel,Seafood,154.9,16.8,1.2,12.0,0.1,0.2,280.83
Green Peas,Legumes,182.9,7.4,24.8,1.0,8.9,0.7,278.51
Pumpkin Seeds,Nuts & Seeds,22.2,17.4,22.7,45.8,9.2,4.9,136.23
Banana Chips,Snacks,34.8,7.0,50.9,37.8,3.3,19.0,205.27
Fruit Smoothie,Beverages,311.3,3.3,1.3,0.7,0.2,5.1,72.12
Gulab Jamun,Desserts,92.2,4.3,42.9,12.8,0.8,41.5,281.42
Cheese Pizza Slice,Fast Food,241.2,13.5,26.0,13.8,1.5,9.9,729.83
Carrot,Vegetables,214.7,0.5,4.4,0.6,2.5,7.5,65.88
Mango,Fruits,124.9,1.5,24.6,0.7,2.9,18.9,145.21
Greek Yogurt,Dairy,192.6,3.0,10.8,19.7,0.3,8.5,451.13
Cornflakes,Grains & Cereals,181.2,7.7,61.7,4.6,6.0,2.9,643.19
Pork Loin,Meat & Poultry,102.4,23.4,1.2,7.0,0.1,0.4,171.79
Pomfret,Seafood,161.1,24.0,1.4,13.1,0.1,0.2,365.32
Chana Dal,Legumes,176.1,6.3,18.3,0.8,7.3,2.5,218.15
Hazelnuts,Nuts & Seeds,38.3,17.1,16.5,55.5,10.4,6.4,235.38
Potato Chips,Snacks,34.0,7.9,54.3,20.9,1.3,12.8,147.14
Orange Juice,Beverages,301.4,3.3,2.7,1.9,0.8,8.3,125.05
Chocolate Cake,Desserts,99.8,4.6,39.7,28.8,0.9,26.4,435.71
Chicken Burger,Fast Food,154.6,11.2,34.5,12.4,2.3,4.9,468.58
Bell Pepper,Vegetables,181.3,1.3,6.3,0.5,1.8,2.4,69.01
Papaya,Fruits,104.3,1.4,24.0,0.6,3.7,8.3,124.31
Butter,Dairy,145.5,9.6,13.1,1.9,0.4,7.1,160.24
Ragi,Grains & Cereals,153.9,14.0,56.6,6.0,7.8,8.8,561.29
Keema,Meat & Poultry,127.9,20.2,0.0,16.2,0.1,0.1,280.08
Tilapia,Seafood,196.4,15.8,0.1,13.8,0.0,0.5,370.32
Boiled Chickpeas,Legumes,107.7,8.6,24.0,2.2,4.5,1.0,165.73
Cashews,Nuts & Seeds,20.8,24.9,21.1,58.9,10.9,5.4,156.7
Roasted Peanuts,Snacks,42.2,5.5,45.1,30.1,3.8,10.1,198.09
Sweet Tea,Beverages,243.2,0.2,1.1,1.5,0.9,1.9,47.99
Donut,Desserts,88.9,2.1,48.8,24.0,1.9,29.7,382.58
Fried Chicken,Fast Food,229.9,9.1,39.0,21.4,2.8,9.4,916.2
Tomato,Vegetables,152.8,1.5,2.0,0.1,1.4,1.7,28.05
Watermelon,Fruits,101.3,1.6,18.0,0.2,3.2,11.6,88.9
Buttermilk,Dairy,120.9,5.3,6.3,20.4,0.4,10.7,281.02
Upma,Grains & Cereals,57.9,11.4,59.9,4.9,6.4,5.3,196.5
Chicken Breast,Meat & Poultry,153.3,19.2,0.5,5.9,0.2,0.3,199.01
Rohu Fish,Seafood,155.6,24.9,1.1,13.8,0.0,0.1,363.0
Moong Dal,Legumes,127.1,9.0,28.2,1.7,8.9,1.9,235.21
Peanuts,Nuts & Seeds,20.9,15.4,23.9,46.1,5.5,4.8,116.65
Cookies,Snacks,31.6,6.8,46.4,29.5,2.0,9.6,152.99
Coconut Water,Beverages,306.5,3.3,2.0,1.9,0.6,8.3,119.95
Jalebi,Desserts,96.5,5.3,47.1,20.7,1.0,22.6,389.12
Veg Wrap,Fast Food,184.2,9.9,26.4,12.9,2.3,7.4,474.35
Cabbage,Vegetables,173.0,1.6,6.6,0.7,3.3,4.4,82.64
Pomegranate,Fruits,131.9,1.6,16.4,0.7,1.1,19.3,106.22
Whole Milk,Dairy,189.9,12.0,11.6,1.7,0.0,3.3,201.24
White Rice,Grains & Cereals,50.2,13.5,78.4,4.3,7.5,3.5,204.26
Mutton Curry Cut,Meat & Poultry,206.2,19.2,0.3,9.8,0.0,0.4,334.63
Tuna,Seafood,122.3,21.6,1.7,6.4,0.1,0.3,190.14
Kidney Beans,Legumes,152.5,6.4,15.4,1.1,5.8,1.4,166.26
Sunflower Seeds,Nuts & Seeds,22.1,17.9,17.9,51.1,9.6,2.8,137.31
Popcorn,Snacks,26.2,6.7,60.9,31.8,3.3,12.9,138.8
Lemonade,Beverages,272.1,0.1,4.6,1.0,0.4,7.3,79.6
Pastry,Desserts,72.0,4.7,43.0,16.9,1.8,34.9,246.4
Pav Bhaji,Fast Food,107.3,12.9,34.7,12.0,1.9,9.2,330.26
Spinach,Vegetables,168.2,0.9,8.6,0.4,1.0,7.4,75.95
Banana,Fruits,168.5,0.7,22.7,1.4,2.7,9.6,185.51
Paneer,Dairy,246.1,11.4,8.3,7.1,0.1,10.7,349.53
Whole Wheat Bread,Grains & Cereals,143.7,11.9,78.2,1.4,3.0,8.3,557.85
Chicken Thigh,Meat & Poultry,177.4,28.0,1.6,23.0,0.2,0.8,577.38
Mackerel,Seafood,105.4,20.6,0.2,10.1,0.0,0.3,185.69
Green Peas,Legumes,186.1,6.2,24.3,2.5,4.3,2.6,271.48
Pumpkin Seeds,Nuts & Seeds,37.6,21.6,15.5,47.2,7.2,2.4,223.61
Banana Chips,Snacks,27.7,7.3,56.3,31.2,4.0,10.0,147.66
Fruit Smoothie,Beverages,228.2,1.2,4.5,0.0,0.6,3.4,55.5
Gulab Jamun,Desserts,73.0,3.5,57.0,16.7,2.0,38.9,275.91
Cheese Pizza Slice,Fast Food,256.5,12.8,33.4,10.0,1.1,9.9,690.32
Carrot,Vegetables,101.0,2.8,2.3,0.8,2.8,6.5,33.58
Mango,Fruits,196.7,1.6,21.5,0.9,1.9,11.0,200.25
Greek Yogurt,Dairy,224.0,6.5,9.6,10.5,0.3,7.8,352.53
Cornflakes,Grains & Cereals,130.1,13.5,69.1,3.7,8.3,10.1,504.59
Pork Loin,Meat & Poultry,188.2,27.0,2.0,19.4,0.0,0.5,546.97
Pomfret,Seafood,175.8,24.4,1.2,2.4,0.1,0.4,218.88
Chana Dal,Legumes,171.8,9.3,21.2,1.9,4.0,2.1,245.61
Hazelnuts,Nuts & Seeds,34.1,20.0,24.0,58.3,5.2,6.8,231.12
Potato Chips,Snacks,44.0,7.9,63.4,35.1,2.8,8.4,267.85
Orange Juice,Beverages,264.8,1.8,12.2,0.2,0.4,6.6,160.49
Chocolate Cake,Desserts,83.1,2.6,55.9,19.7,0.1,20.4,349.53
Chicken Burger,Fast Food,160.7,12.9,36.9,13.4,2.2,4.1,518.2
Bell Pepper,Vegetables,172.0,1.9,13.5,0.2,2.3,4.3,124.53
Papaya,Fruits,151.9,0.4,22.5,1.3,2.7,11.5,170.31
Butter,Dairy,206.7,10.0,9.0,23.2,0.3,8.7,589.62
Ragi,Grains & Cereals,117.3,13.2,59.6,6.8,9.3,10.3,445.3
Keema,Meat & Poultry,148.3,21.7,2.3,6.1,0.1,0.4,225.33
Tilapia,Seafood,179.2,24.0,0.5,11.3,0.0,0.4,355.63
Boiled Chickpeas,Legumes,177.9,8.6,28.7,2.5,6.0,1.7,331.4
Cashews,Nuts & Seeds,40.0,23.0,13.9,60.9,3.7,2.2,284.05
Roasted Peanuts,Snacks,57.7,5.8,50.7,22.6,2.5,9.4,251.13
Sweet Tea,Beverages,249.1,0.5,3.5,0.4,0.2,8.5,47.14
Donut,Desserts,72.4,5.6,50.1,23.9,1.1,24.0,305.76
Fried Chicken,Fast Food,212.1,12.4,29.2,16.8,2.7,7.7,680.49
Tomato,Vegetables,189.8,2.2,10.4,0.2,1.4,7.8,105.62
Watermelon,Fruits,153.4,1.3,9.1,1.2,1.6,17.5,84.84
Buttermilk,Dairy,152.5,2.3,12.8,4.8,0.0,11.3,157.54
Upma,Grains & Cereals,72.5,8.0,76.5,2.8,3.9,3.7,274.6
Chicken Breast,Meat & Poultry,131.9,19.0,0.5,12.2,0.2,0.1,250.25
Rohu Fish,Seafood,112.9,24.8,1.4,4.0,0.0,0.1,158.34
Moong Dal,Legumes,179.1,7.9,20.4,2.0,5.5,1.4,254.47
Peanuts,Nuts & Seeds,23.4,18.2,19.0,49.8,3.4,5.7,139.11
Cookies,Snacks,46.5,5.9,48.7,21.9,2.0,24.0,195.68
Coconut Water,Beverages,263.5,0.1,8.4,0.2,0.5,9.8,95.03
Jalebi,Desserts,90.2,2.2,35.6,18.6,2.7,26.1,302.59
Veg Wrap,Fast Food,246.8,8.4,27.3,15.0,2.3,6.1,718.8
Cabbage,Vegetables,209.5,2.4,14.9,0.8,4.4,6.8,181.54
Pomegranate,Fruits,143.1,1.9,16.1,1.0,2.5,18.1,127.36
Whole Milk,Dairy,240.4,10.0,14.5,6.6,0.4,11.3,377.35
White Rice,Grains & Cereals,156.0,10.6,69.5,2.0,10.8,3.1,565.54
Mutton Curry Cut,Meat & Poultry,113.5,23.3,0.6,7.2,0.2,0.5,177.21
Tuna,Seafood,151.2,17.8,1.8,5.0,0.0,0.0,177.03
Kidney Beans,Legumes,192.8,8.8,22.0,1.4,5.3,1.2,285.77
Sunflower Seeds,Nuts & Seeds,35.8,24.9,13.9,45.9,5.0,2.3,207.3
Popcorn,Snacks,48.8,5.3,58.2,32.6,3.8,24.2,261.35
Lemonade,Beverages,344.3,2.8,6.9,1.4,0.1,9.9,170.08
Pastry,Desserts,117.2,5.3,58.3,14.5,1.6,43.2,454.74
Pav Bhaji,Fast Food,130.7,10.4,35.5,13.3,1.6,3.2,408.28
Spinach,Vegetables,102.3,2.1,10.4,0.8,2.7,2.9,62.56
Banana,Fruits,163.0,0.8,11.0,0.0,1.5,15.7,83.82
Paneer,Dairy,164.6,10.0,9.8,3.9,0.3,3.7,190.22
Whole Wheat Bread,Grains & Cereals,140.4,9.4,62.0,5.1,9.6,9.2,486.13
Chicken Thigh,Meat & Poultry,240.3,18.4,2.2,15.0,0.1,0.3,495.23
Mackerel,Seafood,144.0,20.2,1.2,6.5,0.0,0.1,216.16
Green Peas,Legumes,165.3,5.2,26.9,1.2,7.4,2.1,253.3
Pumpkin Seeds,Nuts & Seeds,25.6,22.3,21.8,49.0,5.3,4.1,163.25
Banana Chips,Snacks,49.7,5.6,57.1,24.4,3.4,13.8,234.02
Fruit Smoothie,Beverages,248.6,1.6,0.4,1.4,0.3,12.3,52.96
Gulab Jamun,Desserts,57.8,3.0,50.5,19.3,1.1,25.1,238.04
Cheese Pizza Slice,Fast Food,183.7,15.0,31.2,10.0,2.9,3.1,539.82
Carrot,Vegetables,248.0,2.8,11.3,0.5,4.9,1.3,168.57
Mango,Fruits,152.3,1.9,12.3,0.2,3.0,13.7,101.48
Greek Yogurt,Dairy,121.5,8.2,6.7,10.3,0.1,5.1,183.7
Cornflakes,Grains & Cereals,181.0,11.6,68.3,3.2,8.0,9.8,663.98
Pork Loin,Meat & Poultry,159.4,27.8,1.5,13.4,0.2,0.4,376.85
Pomfret,Seafood,186.7,20.7,1.1,10.1,0.0,0.1,353.58
Chana Dal,Legumes,113.9,9.6,18.1,1.9,6.7,2.6,159.46
Hazelnuts,Nuts & Seeds,25.3,20.3,19.3,54.7,3.3,4.5,154.52
Potato Chips,Snacks,31.7,6.6,55.0,21.9,1.2,8.7,135.38
Orange Juice,Beverages,244.3,0.6,12.3,0.4,0.1,11.4,137.99
Chocolate Cake,Desserts,119.2,5.8,58.6,24.3,0.2,34.8,575.73
Chicken Burger,Fast Food,154.8,8.7,30.9,14.7,1.3,7.9,438.24
Bell Pepper,Vegetables,243.1,0.7,8.5,0.2,2.7,2.0,107.12
Papaya,Fruits,113.9,1.1,11.3,0.1,1.6,7.7,59.93
Butter,Dairy,155.8,8.5,4.0,11.3,0.3,5.6,230.22
Ragi,Grains & Cereals,107.7,7.8,66.7,6.9,11.0,11.8,419.47
Keema,Meat & Poultry,150.9,21.9,0.7,3.3,0.0,0.5,175.77
Tilapia,Seafood,118.4,22.9,0.7,12.9,0.0,0.3,232.07
Boiled Chickpeas,Legumes,193.0,5.8,17.4,2.0,5.3,0.9,232.54
Cashews,Nuts & Seeds,34.4,20.7,18.5,49.3,6.6,2.4,202.04
Roasted Peanuts,Snacks,47.8,4.8,51.3,38.0,3.4,23.9,275.95
Sweet Tea,Beverages,281.9,1.7,12.7,1.0,0.4,8.3,185.01
Donut,Desserts,102.7,3.3,56.2,17.6,2.5,31.1,411.32
Fried Chicken,Fast Food,173.3,14.5,32.2,13.9,1.5,4.9,512.84
Tomato,Vegetables,227.4,2.9,10.7,0.5,2.8,6.8,149.67
Watermelon,Fruits,116.2,1.9,14.7,1.2,3.9,16.1,95.82
Buttermilk,Dairy,127.2,3.2,12.5,7.4,0.3,13.0,166.66
Upma,Grains & Cereals,143.9,11.2,65.5,2.0,2.3,4.9,454.8
Chicken Breast,Meat & Poultry,146.4,19.9,1.4,11.1,0.1,0.7,273.49
Rohu Fish,Seafood,110.1,25.2,1.1,9.4,0.0,0.1,207.61
Moong Dal,Legumes,162.2,9.2,17.8,1.0,5.6,2.0,217.46
Peanuts,Nuts & Seeds,38.1,24.1,13.2,57.8,7.5,3.5,263.12
Cookies,Snacks,54.0,6.8,59.6,38.3,2.6,11.4,328.99
Coconut Water,Beverages,247.7,1.8,10.8,0.5,0.6,11.2,134.71
Jalebi,Desserts,60.7,5.8,55.0,27.7,1.2,44.9,305.67
Veg Wrap,Fast Food,185.5,11.4,37.0,23.6,2.5,7.4,758.21
Cabbage,Vegetables,219.4,1.8,2.3,0.5,4.4,6.0,64.45
Pomegranate,Fruits,103.1,1.2,8.6,0.6,2.4,10.3,49.61
Whole Milk,Dairy,171.1,6.4,8.0,6.6,0.3,7.8,204.62
White Rice,Grains & Cereals,123.8,6.1,77.7,1.4,6.1,2.5,451.16
Mutton Curry Cut,Meat & Poultry,160.6,28.3,1.2,17.1,0.0,0.0,434.17
Tuna,Seafood,178.9,20.1,1.9,10.7,0.1,0.1,325.66
Kidney Beans,Legumes,112.7,8.1,29.8,2.1,8.5,2.3,206.29
Sunflower Seeds,Nuts & Seeds,21.4,19.8,26.3,60.9,3.8,2.7,152.82
Popcorn,Snacks,43.2,4.3,59.5,31.0,3.5,10.6,237.78
Lemonade,Beverages,215.9,3.1,2.5,0.2,0.2,10.5,54.77
Pastry,Desserts,64.2,5.0,53.8,13.8,0.2,31.2,225.19
Pav Bhaji,Fast Food,235.8,10.5,31.7,11.7,2.1,4.3,671.22
Spinach,Vegetables,122.9,2.9,10.9,0.2,1.1,3.3,72.18
Banana,Fruits,197.6,1.8,18.3,0.3,2.7,10.3,170.39
Paneer,Dairy,230.2,9.3,12.3,2.1,0.1,7.2,242.21
Whole Wheat Bread,Grains & Cereals,154.9,11.2,74.6,6.0,6.3,6.1,632.12
Chicken Thigh,Meat & Poultry,122.5,28.3,0.1,7.3,0.2,0.3,215.97
Mackerel,Seafood,195.6,20.8,1.7,1.5,0.0,0.2,206.4
Green Peas,Legumes,151.2,9.8,28.3,1.2,8.1,2.2,275.45
Pumpkin Seeds,Nuts & Seeds,36.1,23.2,23.7,59.9,11.0,4.4,261.73
Banana Chips,Snacks,49.5,4.8,45.8,28.1,3.6,10.8,229.61
Fruit Smoothie,Beverages,336.5,1.2,8.6,0.3,0.9,2.0,143.41
Gulab Jamun,Desserts,91.3,6.0,50.1,11.7,0.2,21.9,293.61
Cheese Pizza Slice,Fast Food,194.4,10.8,31.7,18.8,2.1,7.8,678.76
Carrot,Vegetables,151.6,3.0,6.6,0.0,1.5,4.9,61.99
Mango,Fruits,100.3,1.3,16.8,1.2,1.8,17.7,90.91
Greek Yogurt,Dairy,182.6,11.3,12.5,21.4,0.2,12.1,578.24
Cornflakes,Grains & Cereals,174.4,6.5,60.0,4.3,2.5,8.9,555.08
Pork Loin,Meat & Poultry,110.5,19.2,2.8,4.5,0.1,0.8,143.19
Pomfret,Seafood,156.9,15.3,1.0,12.3,0.0,0.1,268.47
Chana Dal,Legumes,183.2,8.7,29.2,2.4,8.4,1.8,341.75
Hazelnuts,Nuts & Seeds,39.0,15.7,20.8,45.1,10.1,5.5,229.88
Potato Chips,Snacks,59.3,5.9,59.8,24.9,2.6,18.2,287.51
Orange Juice,Beverages,217.8,1.7,8.2,0.3,0.4,3.7,93.43
Chocolate Cake,Desserts,112.7,2.7,49.8,13.4,2.2,24.9,385.89
Chicken Burger,Fast Food,283.1,11.7,29.8,13.4,1.9,8.9,809.7
Bell Pepper,Vegetables,177.8,0.9,11.4,0.6,1.8,6.3,101.49
Papaya,Fruits,177.8,0.8,15.5,0.3,3.3,9.0,129.37
Butter,Dairy,237.9,9.5,3.2,7.2,0.2,9.6,276.01
Ragi,Grains & Cereals,64.1,13.0,59.1,3.2,2.5,8.9,206.87
Keema,Meat & Poultry,145.7,27.3,1.6,3.3,0.0,0.5,208.46
Tilapia,Seafood,113.8,21.7,0.5,9.1,0.0,0.1,188.82
Boiled Chickpeas,Legumes,157.6,5.1,19.6,2.8,8.2,1.4,213.02
Cashews,Nuts & Seeds,26.3,23.3,12.0,50.2,5.4,2.2,158.91
Roasted Peanuts,Snacks,44.4,7.6,47.2,29.2,2.1,14.8,218.22
Sweet Tea,Beverages,250.1,2.9,13.6,1.3,0.7,6.9,199.14
Donut,Desserts,72.9,4.3,36.1,26.5,1.3,30.4,310.85
Fried Chicken,Fast Food,147.1,9.2,27.3,12.5,2.3,9.9,392.0
Tomato,Vegetables,180.4,1.2,10.4,0.0,3.0,5.6,100.35
Watermelon,Fruits,124.1,1.7,24.5,0.7,2.9,17.3,153.4
Buttermilk,Dairy,178.7,4.8,12.3,3.2,0.1,8.9,178.29
Upma,Grains & Cereals,119.0,14.0,57.7,2.6,5.2,5.7,368.4
Chicken Breast,Meat & Poultry,119.6,27.2,0.1,13.0,0.1,0.5,267.17
Rohu Fish,Seafood,151.6,19.5,0.4,11.5,0.0,0.3,276.73
Moong Dal,Legumes,176.3,5.6,16.7,1.3,6.2,1.2,193.83
Peanuts,Nuts & Seeds,31.2,15.8,15.7,60.2,9.8,5.7,205.2
Cookies,Snacks,47.9,6.7,49.7,31.0,3.3,11.3,233.93
Coconut Water,Beverages,254.9,1.8,1.3,1.3,0.9,1.8,67.47
Jalebi,Desserts,118.6,2.1,59.7,19.9,1.1,26.9,507.52
Veg Wrap,Fast Food,235.1,13.1,29.3,11.1,2.4,3.0,643.49
Cabbage,Vegetables,248.5,2.4,12.0,0.7,1.1,5.9,161.45
Pomegranate,Fruits,103.7,0.7,21.8,0.2,3.0,16.8,99.99
Whole Milk,Dairy,227.3,7.8,6.6,22.0,0.1,7.0,585.94
White Rice,Grains & Cereals,166.5,12.6,57.0,3.9,2.7,8.1,522.83
Mutton Curry Cut,Meat & Poultry,196.6,29.8,2.0,19.9,0.1,0.9,603.81
Tuna,Seafood,197.8,17.6,1.0,11.1,0.0,0.1,335.07
Kidney Beans,Legumes,198.7,5.9,20.0,1.5,7.1,2.8,262.51
Sunflower Seeds,Nuts & Seeds,39.5,22.0,13.8,62.0,4.7,2.5,293.88
Popcorn,Snacks,29.8,5.2,58.5,29.3,2.0,10.7,161.55
Lemonade,Beverages,334.9,1.6,7.2,0.4,0.9,8.3,129.17
Pastry,Desserts,69.1,4.5,56.2,16.6,0.6,26.6,280.51
Pav Bhaji,Fast Food,238.0,10.3,29.1,19.7,1.1,5.4,809.27
Spinach,Vegetables,140.9,1.1,4.6,0.0,2.9,1.3,38.76
Banana,Fruits,180.3,1.9,11.7,0.5,2.4,18.0,113.65
Paneer,Dairy,186.1,3.2,8.0,21.8,0.4,4.2,441.71
Whole Wheat Bread,Grains & Cereals,105.4,11.5,77.9,3.7,2.7,7.0,427.85
Chicken Thigh,Meat & Poultry,105.2,22.1,2.6,9.0,0.0,0.3,188.23
Mackerel,Seafood,187.5,22.3,0.3,2.1,0.0,0.0,199.27
Green Peas,Legumes,128.6,5.2,26.4,2.3,9.0,1.4,215.66
Pumpkin Seeds,Nuts & Seeds,37.1,23.6,22.3,53.9,5.0,5.6,249.0
Banana Chips,Snacks,59.2,6.7,53.0,29.6,2.6,20.5,315.58
Fruit Smoothie,Beverages,264.2,1.2,5.2,0.3,0.3,1.1,75.2
Gulab Jamun,Desserts,89.7,3.4,54.8,14.9,1.8,42.5,344.37
Cheese Pizza Slice,Fast Food,208.6,10.4,33.9,17.6,1.3,6.1,709.26
Carrot,Vegetables,190.8,2.0,2.9,0.3,4.2,2.8,58.84
